fund_name,category,fund_ytd,fund_1y,fund_3y,fund_5y,benchmark_name,benchmark_ytd,benchmark_1y,benchmark_3y,benchmark_5y,fund_mean,fund_std_dev,fund_Sharpe,fund_Sortino,fund_Beta,fund_Alpha,benchmark_mean,benchmark_std_dev,benchmark_Sharpe,benchmark_Sortino,fund_house,Type,Expense_ratio,AMC,Benchmark,Fund Manager,sector1_name,sector1_percent,sector2_name,sector2_percent,sector3_name,sector3_percent,Riskometer,Category,SubCategory
360 ONE Focused Dir,Equity: Flexi Cap,2.36,-5.78,16.86,21.79,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.85,12.29,0.78,1.28,0.87,2.47,14.4,13.39,0.6,0.94,360 ONE Mutual Fund,Open-ended,"0.81%
(As on 31-Aug-2025)",360 ONE Asset Management Limited,BSE 500 TRI,Mayur Patel,Financial,30.89,Industrials,20.73,Technology,20.29,Very High,Equity,Flexi Cap
ABSL Bal Bhavishya Yojna Dir,Equity: Flexi Cap,2.71,-2.53,14.36,15.16,BSE 500 TRI,2.84,-3.29,15.09,20.66,13.49,13.01,0.55,0.83,0.94,-0.43,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.97%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 500 TRI,Chanchal Khandelwal,Financial,27.56,Technology,14.16,Materials,13.8,Very High,Equity,Flexi Cap
ABSL BSE Sensex ETF,Equity: Large Cap,4.32,-0.69,12.16,17.34,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.66,11.72,0.45,0.8,0.92,-1.17,13.41,12.6,0.56,0.95,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.04%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,BSE Sensex TRI,Priya Sridhar,Financial,39.96,Technology,18.92,Energy & Utilities,12.88,Very High,Equity,Large Cap
ABSL Consumption Dir,Equity: Thematic-Consumption,6.3,-0.39,16.63,22.07,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.66,13.18,0.71,1.02,0.77,0.45,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.77%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY India Consumption TRI,Chanchal Khandelwal,Consumer Discretionary,28.66,Consumer Staples,26.87,Financial,18.73,Very High,Equity,Thematic-Consumption
ABSL Digital India Dir,Equity: Sectoral-Technology,-10.23,-10.01,14.79,21.51,BSE IT TRI,-19.93,-19.68,8.43,15.64,14.64,16.82,0.49,0.88,0.85,5.41,9.76,19.48,0.18,0.33,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.86%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,BSE Teck TRI,Kunal Sangoi,Technology,86.42,Industrials,5.02,Consumer Discretionary,3.15,Very High,Equity,Sectoral-Technology
ABSL Dividend Yield Dir,Equity: Thematic-Dividend Yield,-3.08,-9.52,20.23,22.7,BSE 500 TRI,2.84,-3.29,15.09,20.66,19.23,14.5,0.89,1.42,1.0,4.84,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.43%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 500 TRI,Dhaval Gala,Financial,22.42,Technology,16.81,Consumer Staples,16.39,Very High,Equity,Thematic-Dividend Yield
ABSL ELSS Tax Saver Dir,Equity: ELSS,6.61,-0.27,14.45,14.77,BSE 500 TRI,2.84,-3.29,15.09,20.66,13.66,12.73,0.58,0.94,0.93,-0.2,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.97%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 500 TRI,Dhaval Shah,Financial,32.12,Technology,13.79,Consumer Discretionary,11.73,Very High,Equity,ELSS
ABSL Flexi Cap Dir,Equity: Flexi Cap,4.62,-0.08,17.46,20.84,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.67,12.83,0.81,1.4,0.95,2.69,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.86%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 500 TRI,Harish Krishnan,Financial,32.29,Consumer Discretionary,12.58,Technology,12.25,Very High,Equity,Flexi Cap
ABSL Focused Dir,Equity: Flexi Cap,3.45,-0.75,15.98,19.67,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.11,12.5,0.7,1.39,0.91,1.4,14.4,13.39,0.6,0.94,Aditya Birla Sun Life Mutual Fund,Open-ended,"0.88%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY 500 TRI,Kunal Sangoi,Financial,30.55,Technology,20.8,Consumer Discretionary,11.69,Very High,Equity,Flexi Cap
ABSL Infrastructure Dir,Equity: Thematic-Infrastructure,0.06,-5.61,23.71,29.35,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,22.75,16.41,1.0,1.36,0.57,5.22,25.88,24.31,0.8,1.54,Aditya Birla Sun Life Mutual Fund,Open-ended,"1.42%
(As on 31-Aug-2025)",Aditya Birla Sun Life AMC Ltd.,NIFTY Infrastructure TRI,Jonas Bhutta,Industrials,50.08,Materials,12.93,Energy & Utilities,11.85,Very High,Equity,Thematic-Infrastructure
