fund_id,risk_id
f1,r1
f2,r1
f3,r1
f4,r1
f5,r1
f6,r1
f7,r1
f8,r1
f9,r1
f10,r1
f11,r1
f12,r1
f13,r1
f14,r1
f15,r1
f16,r1
f17,r1
f18,r1
f19,r1
f20,r1
f21,r1
f22,r1
f23,r1
f24,r1
f25,r1
f26,r1
f27,r1
f28,r1
f29,r1
f30,r1
f31,r1
f32,r1
f33,r1
f34,r1
f35,r1
f36,r1
f37,r1
f38,r1
f39,r1
f40,r1
f41,r1
f42,r1
f43,r1
f44,r1
f45,r1
f46,r1
f47,r1
f48,r1
f49,r1
f50,r1
f51,r1
f52,r1
f53,r1
f54,r1
f55,r1
f56,r1
f57,r1
f58,r1
f59,r1
f60,r1
f61,r1
f62,r1
f63,r1
f64,r1
f65,r1
f66,r1
f67,r1
f68,r1
f69,r1
f70,r1
f71,r1
f72,r1
f73,r1
f74,r1
f75,r1
f76,r1
f77,r1
f78,r1
f79,r1
f80,r1
f81,r1
f82,r1
f83,r1
f84,r1
f85,r1
f86,r1
f87,r1
f88,r1
f89,r1
f90,r1
f91,r1
f92,r1
f93,r1
f94,r1
f95,r1
f96,r1
f97,r1
f98,r1
f99,r1
f100,r1
f101,r1
f102,r1
f103,r1
f104,r1
f105,r1
f106,r1
f107,r1
f108,r1
f109,r1
f110,r1
f111,r1
f112,r1
f113,r1
f114,r1
f115,r1
f116,r1
f117,r1
f118,r1
f119,r1
f120,r1
f121,r1
f122,r1
f123,r1
f124,r1
f125,r1
f126,r1
f127,r1
f128,r1
f129,r1
f130,r1
f131,r1
f132,r1
f133,r1
f134,r1
f135,r1
f136,r1
f137,r1
f138,r1
f139,r1
f140,r1
f141,r1
f142,r1
f143,r1
f144,r1
f145,r1
f146,r1
f147,r1
f148,r1
f149,r1
f150,r1
f151,r1
f152,r1
f153,r1
f154,r1
f155,r1
f156,r1
f157,r1
f158,r1
f159,r1
f160,r1
f161,r1
f162,r1
f163,r1
f164,r1
f165,r1
f166,r1
f167,r1
f168,r1
f169,r1
f170,r1
f171,r1
f172,r1
f173,r1
f174,r1
f175,r1
f176,r1
f177,r1
f178,r1
f179,r1
f180,r1
f181,r1
f182,r1
f183,r1
f184,r1
f185,r1
f186,r1
f187,r1
f188,r1
f189,r1
f190,r1
f191,r1
f192,r1
f193,r1
f194,r1
f195,r1
f196,r1
f197,r1
f198,r1
f199,r1
f200,r1
f201,r1
f202,r1
f203,r1
f204,r1
f205,r1
f206,r1
f207,r1
f208,r1
f209,r1
f210,r1
f211,r1
f212,r1
f213,r1
f214,r1
f215,r1
f216,r1
f217,r1
f218,r1
f219,r1
f220,r1
f221,r1
f222,r1
f223,r1
f224,r1
f225,r1
f226,r1
f227,r1
f228,r1
f229,r1
f230,r1
f231,r1
f232,r1
f233,r1
f234,r1
f235,r1
f236,r1
f237,r1
f238,r1
f239,r1
f240,r1
f241,r1
f242,r1
f243,r1
f244,r1
f245,r1
f246,r1
f247,r1
f248,r1
f249,r1
f250,r1
f251,r1
f252,r1
f253,r1
f254,r1
f255,r1
f256,r1
f257,r1
f258,r1
f259,r1
f260,r1
f261,r1
f262,r1
f263,r1
f264,r1
f265,r1
f266,r1
f267,r1
f268,r1
f269,r1
f270,r1
f271,r1
f272,r1
f273,r1
f274,r1
f275,r1
f276,r1
f277,r1
f278,r1
f279,r1
f280,r1
f281,r1
f282,r1
f283,r1
f284,r1
f285,r1
f286,r1
f287,r1
f288,r1
f289,r1
f290,r1
f291,r1
f292,r1
f293,r1
f294,r1
f295,r1
f296,r1
f297,r1
f298,r1
f299,r1
f300,r1
f301,r1
f302,r1
f303,r1
f304,r1
f305,r1
f306,r1
f307,r1
f308,r1
f309,r1
f310,r1
f311,r1
f312,r1
f313,r1
f314,r1
f315,r1
f316,r1
f317,r1
f318,r1
f319,r1
f320,r1
f321,r1
f322,r1
f323,r1
f324,r1
f325,r1
f326,r1
f327,r1
f328,r1
f329,r1
f330,r1
f331,r1
f332,r1
f333,r1
f334,r1
f335,r1
f336,r1
f337,r1
f338,r1
f339,r1
f340,r1
f341,r1
f342,r1
f343,r1
f344,r1
f345,r1
f346,r1
f347,r1
f348,r1
f349,r1
f350,r1
f351,r1
f352,r1
f353,r1
f354,r1
f355,r1
f356,r1
f357,r1
f358,r1
f359,r1
f360,r1
f361,r2
f362,r3
f363,r4
f364,r4
f365,r2
f366,r2
f367,r3
f368,r4
f369,r4
f370,r4
f371,r2
f372,r4
f373,r4
f374,r4
f375,r4
f376,r4
f377,r4
f378,r5
f379,r4
f380,r3
f381,r3
f382,r4
f383,r2
f384,r3
f385,r4
f386,r4
f387,r4
f388,r4
f389,r4
f390,r4
f391,r2
f392,r4
f393,r4
f394,r4
f395,r3
f396,r3
f397,r3
f398,r6
f399,r3
f400,r2
f401,r3
f402,r4
f403,r3
f404,r4
f405,r2
f406,r4
f407,r3
f408,r3
f409,r3
f410,r4
f411,r3
f412,r4
f413,r4
f414,r4
f415,r4
f416,r4
f417,r4
f418,r4
f418,r4
f419,r3
f420,r3
f421,r4
f422,r3
f423,r4
f424,r4
f425,r3
f426,r2
f427,r3
f428,r3
f429,r3
f430,r4
f431,r4
f432,r3
f433,r4
f434,r3
f435,r3
f436,r4
f437,r4
f438,r4
f439,r4
f440,r3
f441,r3
f442,r4
f443,r3
f444,r4
f445,r4
f446,r4
f447,r5
f448,r4
f449,r3
f450,r4
f451,r3
f452,r3
f453,r2
f454,r3
f455,r4
f456,r3
f457,r4
f458,r4
f459,r2
f460,r4
f461,r3
f462,r3
f463,r4
f464,r4
f465,r3
f466,r4
f467,r3
f468,r2
f469,r4
f470,r4
f471,r4
f472,r5
f473,r2
f474,r4
f475,r4
f476,r4
f477,r2
f478,r3
f479,r4
f480,r3
f481,r4
f482,r4
f483,r4
f484,r4
f485,r2
f486,r3
f487,r3
f488,r3
f489,r4
f490,r3
f491,r3
f492,r4
