fund_id,subcat_id
f1,s1
f2,s1
f3,s2
f4,s3
f5,s4
f6,s5
f7,s6
f8,s1
f9,s1
f10,s7
f11,s2
f12,s8
f13,s9
f14,s10
f15,s11
f16,s2
f17,s2
f18,s2
f19,s12
f20,s13
f21,s1
f22,s14
f23,s15
f24,s6
f25,s16
f26,s1
f27,s1
f28,s2
f29,s8
f30,s10
f31,s2
f32,s2
f33,s14
f34,s2
f35,s6
f36,s1
f37,s1
f38,s7
f39,s2
f40,s8
f41,s2
f42,s2
f43,s14
f44,s15
f45,s6
f46,s1
f47,s8
f48,s7
f49,s14
f50,s6
f51,s1
f52,s3
f53,s2
f54,s10
f55,s2
f56,s3
f57,s6
f58,s1
f59,s7
f60,s8
f61,s2
f62,s14
f63,s13
f64,s6
f65,s1
f66,s1
f67,s7
f68,s2
f69,s8
f70,s10
f71,s2
f72,s2
f73,s2
f74,s9
f75,s14
f76,s6
f77,s1
f78,s2
f79,s8
f80,s10
f81,s9
f82,s14
f83,s7
f84,s5
f85,s6
f86,s1
f87,s1
f88,s2
f89,s8
f90,s10
f91,s2
f92,s9
f93,s14
f94,s4
f95,s6
f96,s2
f97,s15
f98,s2
f99,s2
f100,s6
f101,s1
f102,s1
f103,s9
f104,s7
f105,s8
f106,s2
f107,s10
f108,s2
f109,s2
f110,s1
f111,s14
f112,s15
f113,s9
f114,s6
f115,s1
f116,s1
f117,s7
f118,s8
f119,s2
f120,s10
f121,s2
f122,s2
f123,s14
f124,s6
f125,s15
f126,s17
f127,s2
f128,s3
f129,s1
f130,s10
f131,s2
f132,s2
f133,s9
f134,s5
f135,s6
f136,s9
f137,s9
f138,s1
f139,s1
f140,s9
f141,s7
f142,s2
f143,s8
f144,s9
f145,s10
f146,s11
f147,s2
f148,s2
f149,s2
f150,s2
f151,s15
f152,s8
f153,s10
f154,s2
f155,s2
f156,s1
f157,s12
f158,s1
f159,s14
f160,s4
f161,s9
f162,s15
f163,s15
f164,s6
f165,s7
f166,s2
f167,s8
f168,s10
f169,s2
f170,s13
f171,s14
f172,s6
f173,s14
f174,s6
f175,s1
f176,s1
f177,s2
f178,s15
f179,s2
f180,s15
f181,s6
f182,s1
f183,s1
f184,s7
f185,s2
f186,s8
f187,s10
f188,s2
f189,s15
f190,s9
f191,s14
f192,s17
f193,s2
f194,s2
f195,s1
f196,s5
f197,s6
f198,s1
f199,s1
f200,s7
f201,s2
f202,s8
f203,s10
f204,s2
f205,s2
f206,s2
f207,s2
f208,s14
f209,s3
f210,s6
