house_id,house_name,AMC
h1,360 ONE Mutual Fund,360 ONE Asset Management Limited
h2,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life AMC Ltd.
h3,Axis Mutual Fund,Axis Asset Management Company Ltd.
h4,Bandhan Mutual Fund,Bandhan Asset Management Company Limited
h5,Bank of India Mutual Fund,Bank of India Investment Managers Private Limited
h6,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Asset Management (India) Private Ltd.
h7,ICICI Prudential Mutual Fund,ICICI Prudential Asset Management Company Ltd
h8,Canara Robeco Mutual Fund,Canara Robeco Asset Management Company Ltd
h9,Nippon India Mutual Fund,Nippon Life India Asset Management Ltd.
h10,DSP Mutual Fund,DSP Investment Managers Pvt. Ltd.
h11,Edelweiss Mutual Fund,Edelweiss Asset Management Ltd.
h12,Franklin Templeton Mutual Fund,Franklin Templeton Asset Management India Private Ltd
h13,Groww Mutual Fund,Groww Asset Management Limited
h14,HDFC Mutual Fund,HDFC Asset Management Company Ltd
h15,HSBC Mutual Fund,HSBC Global Asset Management Company (India) Private Limited
h16,Invesco Mutual Fund,Invesco Asset Management (India) Pvt. Ltd
h17,ITI Mutual Fund,ITI Asset Management Ltd.
h18,JM Financial Mutual Fund,JM Financial Asset Management Ltd.
h19,Kotak Mahindra Mutual Fund,Kotak Mahindra Asset Management Company Ltd
h20,LIC Mutual Fund,LIC Mutual Fund Asset Management Company Ltd
h21,Mahindra Manulife Mutual Fund,Mahindra Manulife Investment Management Private Limited
h22,Mirae Asset Mutual Fund,Mirae Asset Investment Managers (India) Pvt. Ltd.
h23,Motilal Oswal Mutual Fund,Motilal Oswal Asset Management Company Ltd.
h24,Navi Mutual Fund,Navi AMC Limited
h25,PPFAS Mutual Fund,PPFAS Asset Management Pvt.Ltd.
h26,PGIM India Mutual Fund,PGIM India Asset Management Pvt. Ltd.
h27,Quantum Mutual Fund,Quantum Asset Management Company Private Limited
h28,SBI Mutual Fund,SBI Funds Management Ltd
h29,Shriram Mutual Fund,Shriram Asset Management Company Ltd
h30,Sundaram Mutual Fund,Sundaram Asset Management Company Ltd
h31,Tata Mutual Fund,Tata Asset Management Private Ltd
h32,Taurus Mutual Fund,Taurus Asset Management Company Ltd
h33,Union Mutual Fund,Union Asset Management Company Pvt.Ltd.
h34,UTI Mutual Fund,UTI Asset Management Company Ltd
