fund_id,sector_id,percent
f1,s1,30.89
f1,s4,20.73
f1,s3,20.29
f2,s1,27.56
f2,s3,14.16
f2,s5,13.8
f3,s1,39.96
f3,s3,18.92
f3,s7,12.88
f4,s2,28.66
f4,s8,26.87
f4,s1,18.73
f5,s3,86.42
f5,s4,5.02
f5,s2,3.15
f6,s1,22.42
f6,s3,16.81
f6,s8,16.39
f7,s1,32.12
f7,s3,13.79
f7,s2,11.73
f8,s1,32.29
f8,s2,12.58
f8,s3,12.25
f9,s1,30.55
f9,s3,20.8
f9,s2,11.69
f10,s4,50.08
f10,s5,12.93
f10,s7,11.85
f11,s1,34.98
f11,s3,15.11
f11,s2,9.44
f12,s1,26.94
f12,s2,15.42
f12,s4,15.05
f13,s5,28.27
f13,s4,25.92
f13,s2,24.55
f14,s1,21.3
f14,s5,15.5
f14,s4,15.21
f15,s4,23.28
f15,s2,18.8
f15,s8,17.17
f16,s1,37.74
f16,s3,16.95
f16,s7,11.77
f17,s1,37.72
f17,s3,16.94
f17,s7,11.77
f18,s1,20.27
f18,s7,15.78
f18,s8,13.89
f19,s6,95.64
f19,s4,1.6
f19,s5,0.82
f20,s7,40.14
f20,s1,36.26
f20,s4,13.16
f21,s1,26.1
f21,s4,17.17
f21,s3,13.52
f22,s4,18.18
f22,s1,17.5
f22,s2,16.88
f23,s1,23.5
f23,s5,15.83
f23,s3,13.43
f24,s1,30.08
f24,s3,14.83
f24,s2,10.5
f25,s1,30.14
f25,s3,21.39
f25,s2,13.04
f26,s1,29.21
f26,s3,15.19
f26,s2,13.43
f27,s1,33.92
f27,s3,19.18
f27,s6,10.63
f28,s1,31.73
f28,s3,18.05
f28,s2,11.27
f29,s1,25.14
f29,s3,15.36
f29,s4,14.28
f30,s2,16.61
f30,s1,14.76
f30,s5,13.82
f31,s1,34.78
f31,s3,14.92
f31,s7,12.45
f32,s1,37.76
f32,s3,16.92
f32,s7,11.77
f33,s1,19.76
f33,s4,15.3
f33,s5,14.29
f34,s1,39.91
f34,s3,18.9
f34,s7,12.86
f35,s1,32.99
f35,s3,12.05
f35,s5,9.83
f36,s1,35.75
f36,s3,16.23
f36,s2,12.92
f37,s1,37.92
f37,s6,12.27
f37,s3,10.89
f38,s4,45.35
f38,s7,16.6
f38,s5,9.64
f39,s1,30.74
f39,s3,14.53
f39,s7,11.41
f40,s1,29.98
f40,s4,13.46
f40,s3,11.04
f41,s1,37.61
f41,s3,16.9
f41,s7,11.73
f42,s1,37.75
f42,s3,16.94
f42,s7,11.78
f43,s1,21.28
f43,s2,13.64
f43,s6,11.89
f44,s1,33.34
f44,s7,11.65
f44,s2,11.56
f45,s1,24.66
f45,s4,16.08
f45,s5,13.81
f46,s1,26.1
f46,s4,14.71
f46,s5,13.95
f47,s1,29.61
f47,s2,13.54
f47,s5,11.89
f48,s4,29.03
f48,s5,17.99
f48,s2,16.1
f49,s4,18.26
f49,s1,18.14
f49,s5,14.86
f50,s1,31.56
f50,s4,15.04
f50,s3,12.7
f51,s1,38.97
f51,s6,12.72
f51,s3,12.29
f52,s8,37.67
f52,s2,37.39
f52,s3,9.98
f53,s1,31.96
f53,s3,15.37
f53,s7,12.47
f54,s1,18.24
f54,s4,16.98
f54,s6,15.27
f55,s7,34.56
f55,s4,22.14
f55,s1,19.91
f56,s1,30.87
f56,s2,25.84
f56,s8,19.0
f57,s1,28.79
f57,s4,14.67
f57,s3,11.79
f58,s1,28.42
f58,s2,13.8
f58,s3,12.7
f59,s4,43.49
f59,s7,21.99
f59,s5,12.03
f60,s2,30.88
f60,s1,17.88
f60,s3,12.22
f61,s1,32.74
f61,s3,14.72
f61,s2,11.24
f62,s4,22.57
f62,s1,21.16
f62,s5,12.76
f63,s7,64.01
f63,s4,23.21
f63,s5,12.76
f64,s1,36.22
f64,s3,11.98
f64,s6,10.58
f65,s1,40.63
f65,s3,11.79
f65,s6,9.54
f66,s1,35.45
f66,s3,13.04
f66,s6,9.21
f67,s4,26.31
f67,s5,17.78
f67,s7,15.74
f68,s1,43.36
f68,s2,12.87
f68,s7,10.37
f69,s1,32.1
f69,s3,11.96
f69,s6,11.2
f70,s5,17.5
f70,s1,15.46
f70,s2,14.57
f71,s1,23.86
f71,s5,16.39
f71,s2,15.56
f72,s1,37.69
f72,s3,16.93
f72,s7,11.76
f73,s1,20.27
f73,s7,15.76
f73,s8,13.86
f74,s1,29.8
f74,s3,20.4
f74,s8,16.11
f75,s5,23.4
f75,s2,23.3
f75,s4,14.54
f76,s1,36.16
f76,s3,13.98
f76,s2,10.78
f77,s1,30.31
f77,s3,13.71
f77,s2,12.56
f78,s1,35.42
f78,s3,10.98
f78,s6,10.59
f79,s1,28.37
f79,s4,13.27
f79,s3,12.9
f80,s1,23.83
f80,s4,14.54
f80,s2,14.34
f81,s4,23.92
f81,s2,19.4
f81,s1,14.31
f82,s4,23.48
f82,s1,18.72
f82,s5,15.99
f83,s4,39.04
f83,s7,26.18
f83,s1,11.6
f84,s7,31.96
f84,s3,14.98
f84,s8,10.16
f85,s1,30.67
f85,s3,16.86
f85,s4,10.35
f86,s1,28.9
f86,s3,15.97
f86,s2,10.81
f87,s1,35.0
f87,s3,16.97
f87,s4,9.72
f88,s1,33.06
f88,s3,20.86
f88,s2,10.69
f89,s1,24.84
f89,s3,22.55
f89,s4,13.04
f90,s1,20.58
f90,s2,17.99
f90,s5,13.13
f91,s1,37.68
f91,s3,16.9
f91,s7,11.76
f92,s3,19.98
f92,s1,19.78
f92,s6,14.12
f93,s2,20.72
f93,s1,17.1
f93,s4,13.6
f94,s3,77.55
f94,s1,4.97
f94,s2,2.92
f95,s1,31.92
f95,s3,11.94
f95,s2,11.89
f96,s1,37.99
f96,s3,12.81
f96,s4,10.62
f97,s1,39.0
f97,s4,13.68
f97,s2,9.44
f98,s1,39.99
f98,s3,18.93
f98,s7,12.89
f99,s1,40.0
f99,s3,18.94
f99,s7,12.89
f100,s1,42.45
f100,s2,17.15
f100,s3,9.98
f101,s1,40.08
